metric,dataset,model,binarize,ignore,error_rate,bias,max_bias_gap
equalized_odds,adult_data_set,Fair-SMOTE,False,True,27.69854484905524,1.3172342578555492,4.643740515115977
equalized_odds,adult_data_set,FairSSL-xT,False,True,24.028089480923768,0.5622948036661274,1.1269058356419446
equalized_odds,adult_data_set,ExponentiatedGradientReduction,False,True,22.30507492941432,1.676172171287581,4.56329384332658
equalized_odds,adult_data_set,GridSearchReduction,False,True,23.24621733149931,1.498481199080236,3.113074125325029
equalized_odds,adult_data_set,JiangNachum,False,True,22.60913632085716,1.7834149152619192,6.420508912482332
equalized_odds,adult_data_set,PFR,False,False,21.537681893868097,11.732130822123173,17.085464081142543
equalized_odds,adult_data_set,Fair-SMOTE,False,False,27.785419532324624,1.0659989497082432,4.0783537037141855
equalized_odds,adult_data_set,FairSSL-xT,False,False,20.466227466879023,14.202886717906075,20.49834383139555
equalized_odds,adult_data_set,ExponentiatedGradientReduction,False,False,22.18200246144936,1.3762830352168858,4.013540103251093
equalized_odds,adult_data_set,GridSearchReduction,False,False,23.24621733149931,1.498481199080236,3.113074125325029
equalized_odds,adult_data_set,JiangNachum,False,False,21.494244552233404,1.8245401625905409,6.6026752504763415
treatment_equality,compas_mult,PFR,True,True,34.88120950323974,7.786687739593933,14.969296820211076
treatment_equality,compas_mult,Fair-SMOTE,True,True,33.69330453563715,8.176069544042331,15.448434309053782
treatment_equality,compas_mult,FairSSL-xT,True,True,43.3585313174946,1.5405441778028135,3.4687979172871755
treatment_equality,compas_mult,FairSSL-Lx,True,True,33.15334773218142,6.409967537449952,13.009910596714953
treatment_equality,compas_mult,ExponentiatedGradientReduction,True,True,45.14038876889849,0.3543364000877241,0.7473955682242357
treatment_equality,compas_mult,GridSearchReduction,True,True,32.23542116630669,7.879644841087457,15.15912897822446
treatment_equality,compas_mult,JiangNachum,True,True,45.41036717062635,0.0320072178662556,0.0976502898992981
treatment_equality,compas_mult,PFR,True,False,34.44924406047516,10.056771647494884,19.67248593276583
treatment_equality,compas_mult,Fair-SMOTE,True,False,32.289416846652266,2.2420045258005645,3.6880510793554313
treatment_equality,compas_mult,FairSSL-xT,True,False,45.08639308855292,14.876026332904855,32.23684210526316
treatment_equality,compas_mult,FairSSL-Lx,True,False,33.80129589632829,5.084499716451122,10.412867309300829
treatment_equality,compas_mult,ExponentiatedGradientReduction,True,False,45.68034557235421,0.5725755653597879,1.0074052108302245
treatment_equality,compas_mult,GridSearchReduction,True,False,32.23542116630669,7.879644841087457,15.15912897822446
treatment_equality,compas_mult,JiangNachum,True,False,36.06911447084234,1.3040715873237982,4.318082756480821
treatment_equality,compas_mult,PFR,False,True,34.88120950323974,7.786687739593933,14.969296820211076
treatment_equality,compas_mult,Fair-SMOTE,False,True,33.90928725701944,7.485461524590403,14.551309271054496
treatment_equality,compas_mult,FairSSL-xT,False,True,45.19438444924406,0.5450938756527585,1.067954063345769
treatment_equality,compas_mult,FairSSL-Lx,False,True,33.15334773218142,4.251001874427339,9.038379832884855
treatment_equality,compas_mult,ExponentiatedGradientReduction,False,True,45.95032397408208,0.5801533833531867,1.6187800739854812
treatment_equality,compas_mult,GridSearchReduction,False,True,34.82721382289417,7.4408230013693215,14.33596002306362
treatment_equality,compas_mult,JiangNachum,False,True,45.03239740820735,0.0321407649208677,0.0976502898992981
treatment_equality,compas_mult,PFR,False,False,34.44924406047516,9.58950967668519,18.801732943538447
treatment_equality,compas_mult,Fair-SMOTE,False,False,32.50539956803456,2.541677039416615,4.408234593743399
treatment_equality,compas_mult,FairSSL-xT,False,False,46.92224622030238,15.561296050737006,35.91169730410236
treatment_equality,compas_mult,FairSSL-Lx,False,False,34.34125269978402,1.620338805682915,2.7498406893303406
treatment_equality,compas_mult,ExponentiatedGradientReduction,False,False,45.8963282937365,0.2165322571859959,0.8439201451905625
treatment_equality,compas_mult,GridSearchReduction,False,False,34.82721382289417,7.4408230013693215,14.33596002306362
treatment_equality,compas_mult,JiangNachum,False,False,34.77321814254859,2.0744683427959543,5.684001735573052
treatment_equality,adult_data_set,PFR,True,True,25.331209729964527,0.8179708048350292,1.5506624150506347
treatment_equality,adult_data_set,Fair-SMOTE,True,True,28.03880402519366,2.3016000383566326,4.494185949067453
treatment_equality,adult_data_set,FairSSL-xT,True,True,32.15811192355028,2.50223225530459,5.7298447127614285
treatment_equality,adult_data_set,FairSSL-Lx,True,True,27.31484833128213,6.392897050465941,12.790318669606554
treatment_equality,adult_data_set,ExponentiatedGradientReduction,True,True,22.869760370665315,3.6681834335587937,7.514822362588277
