,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
249,equalized_odds,implicit30,Fair-SMOTE,0.833,-17.5037,-8.3354
250,equalized_odds,implicit30,FairSSL-LS,2.4989,-2.3084,0.0952
251,equalized_odds,implicit30,FairSSL-CT,1.3507,-24.8162,-11.7327
252,equalized_odds,implicit30,FairSSL-LP,1.4858,-1.0403,0.2227
253,equalized_odds,implicit30,FairSSL-ST,1.5984,-22.1967,-10.2992
254,equalized_odds,implicit30,GridSearchReduction,-6.0108,40.4557,17.2224
255,equalized_odds,implicit30,ExponentiatedGradientReduction,-4.1648,0.549,-1.8079
256,equalized_odds,implicit30,FAGTB,-3.1067,2.2958,-0.4055
257,equalized_odds,implicit30,RejectOptionClassification,-0.4277,0.1773,-0.1252
258,equalized_odds,implicit30,EqOddsPostprocessing,1.0806,1.0896,1.0851
259,equalized_odds,implicit30,CalibratedEqOddsPostprocessing,-0.0225,3.4758,1.7266
260,equalized_odds,implicit30,JiangNachum,-9.005,-3.8189,-6.4119
261,equalized_odds,implicit40,LFR,-0.7044,0.0824,-0.311
262,equalized_odds,implicit40,Reweighing,-0.7044,-0.0883,-0.3963
263,equalized_odds,implicit40,Fair-SMOTE,-2.863,10.8597,3.9984
264,equalized_odds,implicit40,FairSSL-LS,0.409,3.5155,1.9622
265,equalized_odds,implicit40,FairSSL-CT,2.2495,3.1633,2.7064
266,equalized_odds,implicit40,FairSSL-LP,0.5908,8.4669,4.5289
267,equalized_odds,implicit40,FairSSL-ST,0.5226,-5.587,-2.5322
268,equalized_odds,implicit40,GridSearchReduction,-17.1552,31.7515,7.2982
269,equalized_odds,implicit40,ExponentiatedGradientReduction,-0.5908,0.9195,0.1643
270,equalized_odds,implicit40,FAGTB,-5.5215,-7.0134,-6.2674
271,equalized_odds,implicit40,RejectOptionClassification,-0.7953,0.2597,-0.2678
272,equalized_odds,implicit40,EqOddsPostprocessing,-1.227,-0.2002,-0.7136
273,equalized_odds,implicit40,CalibratedEqOddsPostprocessing,0.7953,-6.4843,-2.8445
274,equalized_odds,implicit40,JiangNachum,-7.4074,0.5761,-3.4157
275,equalized_odds,implicit50,LFR,2.4601,0.0,1.2301
276,equalized_odds,implicit50,Reweighing,2.7563,-8.8094,-3.0266
