,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
276,equalized_odds,implicit40,RejectOptionClassification_tuned,-0.2272,-1.4028,-0.815
277,equalized_odds,implicit40,EqOddsPostprocessing_tuned,0.6362,1.6971,1.1667
278,equalized_odds,implicit40,CalibratedEqOddsPostprocessing_tuned,-0.0909,2.0934,1.0013
279,equalized_odds,implicit40,JiangNachum_tuned,-7.362,0.4885,-3.4367
280,equalized_odds,implicit50,LFR_tuned,-0.0456,-0.2,-0.1228
281,equalized_odds,implicit50,Reweighing_tuned,2.7563,-8.8094,-3.0266
282,equalized_odds,implicit50,Fair-SMOTE_tuned,0.2733,1.0985,0.6859
283,equalized_odds,implicit50,FairSSL-LS_tuned,0.0,0.0,0.0
284,equalized_odds,implicit50,FairSSL-CT_tuned,0.1367,2.3318,1.2343
285,equalized_odds,implicit50,FairSSL-LP_tuned,0.0,0.0,0.0
286,equalized_odds,implicit50,FairSSL-ST_tuned,0.0,0.0,0.0
287,equalized_odds,implicit50,GridSearchReduction_tuned,0.0,0.0,0.0
288,equalized_odds,implicit50,ExponentiatedGradientReduction_tuned,0.0683,-0.2387,-0.0852
289,equalized_odds,implicit50,FAGTB_tuned,-1.549,0.254,-0.6475
290,equalized_odds,implicit50,RejectOptionClassification_tuned,0.41,-1.1211,-0.3555
291,equalized_odds,implicit50,EqOddsPostprocessing_tuned,1.549,1.565,1.557
292,equalized_odds,implicit50,CalibratedEqOddsPostprocessing_tuned,0.4556,-2.2058,-0.8751
293,equalized_odds,implicit50,JiangNachum_tuned,-11.0478,4.0219,-3.513
294,equalized_odds,social10,LFR_tuned,0.2757,-0.4916,-0.1079
295,equalized_odds,social10,Reweighing_tuned,-0.7583,1.3994,0.3206
296,equalized_odds,social10,Fair-SMOTE_tuned,-0.2528,1.9415,0.8444
297,equalized_odds,social10,FairSSL-LS_tuned,0.0689,-0.1476,-0.0394
298,equalized_odds,social10,FairSSL-CT_tuned,-0.1838,0.2248,0.0205
299,equalized_odds,social10,FairSSL-LP_tuned,-0.023,-0.5072,-0.2651
300,equalized_odds,social10,FairSSL-ST_tuned,-0.023,0.5077,0.2424
301,equalized_odds,social10,GridSearchReduction_tuned,0.0,0.0,0.0
302,equalized_odds,social10,ExponentiatedGradientReduction_tuned,0.0,0.1935,0.0967
303,equalized_odds,social10,FAGTB_tuned,0.3676,-0.9041,-0.2682
304,equalized_odds,social10,RejectOptionClassification_tuned,0.0919,-0.0001,0.0459
305,equalized_odds,social10,EqOddsPostprocessing_tuned,0.5515,1.7079,1.1297
306,equalized_odds,social10,CalibratedEqOddsPostprocessing_tuned,0.1379,5.799,2.9684
307,equalized_odds,social10,JiangNachum_tuned,-0.2068,-1.8316,-1.0192
308,equalized_odds,social20,LFR_tuned,-0.406,-1.3796,-0.8928
309,equalized_odds,social20,Reweighing_tuned,-1.1051,-3.5282,-2.3166
310,equalized_odds,social20,Fair-SMOTE_tuned,-0.0226,-0.0599,-0.0412
311,equalized_odds,social20,FairSSL-LS_tuned,0.0,0.0,0.0
312,equalized_odds,social20,FairSSL-CT_tuned,-0.0451,-0.006,-0.0256
313,equalized_odds,social20,FairSSL-LP_tuned,0.0,0.0,0.0
314,equalized_odds,social20,FairSSL-ST_tuned,-0.1353,-0.6422,-0.3888
315,equalized_odds,social20,GridSearchReduction_tuned,0.0,0.0,0.0
316,equalized_odds,social20,ExponentiatedGradientReduction_tuned,-0.0677,0.0143,-0.0267
317,equalized_odds,social20,FAGTB_tuned,0.7668,-3.8133,-1.5233
318,equalized_odds,social20,RejectOptionClassification_tuned,-4.691,1.6422,-1.5244
319,equalized_odds,social20,EqOddsPostprocessing_tuned,1.5111,-0.3858,0.5626
320,equalized_odds,social20,CalibratedEqOddsPostprocessing_tuned,-3.2476,18.8749,7.8136
321,equalized_odds,social20,JiangNachum_tuned,-0.4962,-3.6088,-2.0525
322,equalized_odds,social30,LFR_tuned,1.9411,-4.7412,-1.4
323,equalized_odds,social30,Reweighing_tuned,-1.2788,-8.4132,-4.846
324,equalized_odds,social30,Fair-SMOTE_tuned,0.0685,-1.3118,-0.6217
325,equalized_odds,social30,FairSSL-LS_tuned,0.0,0.0,0.0
326,equalized_odds,social30,FairSSL-CT_tuned,-0.2055,-0.8824,-0.544
327,equalized_odds,social30,FairSSL-LP_tuned,0.0228,0.627,0.3249
328,equalized_odds,social30,FairSSL-ST_tuned,-0.0457,-0.138,-0.0919
